name,description,address1,address2,address3,city,county,postcode,country,animal,pet_name,renewal_date,date,outward_code,Type of Property,Current Manager,Status
Uber Mayfair Luxury Apartment,"In the heart of London, set within a short distance of Oxford Circus and Oxford Street, Uber Mayfair Luxury Apartment offers free WiFi, air conditioning...",Wimpole Street,,,London,Greater London,W1G 9SX,UK,,,,,W1G,Apartment,,Entire apartment
Bond Street Apartment - Sleeps 4,"Set in London, less than 1 km from Oxford Circus and a 15-minute walk from Piccadilly Theatre, Bond Street Apartment - Sleeps 4 provides accommodation with...",Gilbert Street,,,London,Greater London,W1K 5HJ,UK,,,,,W1K,Apartment,Managed by KLD Property Lets,Entire apartment
Oxford street apartment,"Oxford street apartment in London provides accommodation with free WiFi, 700 metres from Oxford Circus, 1.3 km from Piccadilly Theatre and 1.",Gilbert Street,,,London,Greater London,W1C 2JS,UK,,,,,W1C,Apartment,,Entire apartment
Spacious 1 Bed Oxford Street Apartment - Sleeps 4,"Spacious 1 Bed Oxford Street Apartment - Sleeps 4 is located in the centre of London, close to Madame Tussauds, Oxford Circus and Piccadilly Theatre.",Gilbert Street Flat 47 Cavendish Buildings,,,London,Greater London,W1K 5HJ,UK,,,,,W1K,Apartment,Managed by KLD Properties,Entire apartment
Oxford Street London apartment,"Located in London, near Oxford Circus, Piccadilly Theatre and Piccadilly Circus, Oxford Street London apartment features free WiFi.",Gilbert Street,,,London,Greater London,W1K 5HJ,UK,,,,,W1K,Apartment,,Entire apartment
Bond Street station apartment,"In the Westminster Borough district of London, close to Oxford Circus, Bond Street station apartment has free WiFi and a washing machine.",Oxford Street,,,London,Greater London,W1K 5HJ,UK,,,,,W1K,Apartment,,Entire apartment
New 2B Soho Studios by Indigo Flats Sleeps 4,"New 2B Soho Studios by Indigo Flats Sleeps 4 is located in the Westminster Borough district of London, 400 metres from Leicester Square Underground...",47 Greek Street,,,London,Greater London,W1D 4EE,UK,,,,,W1D,Apartment,,Entire apartment
New 2A Soho Studios by Indigo Flats Sleeps 4,"Right in the centre of London, set within a short distance of Queen's Theatre and Leicester Square Underground Station, New 2A Soho Studios by Indigo Flats...",47 Greek Street,,,London,Greater London,W1D 4EE,UK,,,,,W1D,Apartment,Managed by hb surveyors and valuers T/a Indigo Flats,Entire apartment
4B Soho Studios 4th floor by Indigo Flats,"Offering city views, 4B Soho Studios 4th floor by Indigo Flats is an accommodation set in London, 400 metres from Arts Theatre and 400 metres from Dominion...",47 Greek Street,,,London,Greater London,W1D 4EE,UK,,,,,W1D,Apartment,,Entire apartment
3A Soho Studios 3rd floor by Indigo Flats,"Offering city views, 3A Soho Studios 3rd floor by Indigo Flats is an accommodation located in London, 400 metres from Leicester Square Underground Station...",47 Greek Street,,,London,Greater London,W1D 4EE,UK,,,,,W1D,Apartment,,Entire apartment
3B Soho Studios 3rd floor by Indigo Flats,"Located in the centre of London, just 400 metres from Queen's Theatre and 400 metres from Leicester Square Underground Station, 3B Soho Studios 3rd floor...",47 Greek Street,,,London,Greater London,W1D 4EE,UK,,,,,W1D,Apartment,,Entire apartment
4A Soho Studios 4th floor by Indigo Flats,"In the Westminster Borough district of London, close to Leicester Square Underground Station, 4A Soho Studios 4th floor by Indigo Flats features free WiFi...",47 Greek Street,,,London,Greater London,W1D 4EE,UK,,,,,W1D,Apartment,,Entire apartment
"Soho Apartment Sleeps 4, Covent Garden & Leicester Square","Located in London, near Leicester Square Underground Station, Arts Theatre and Dominion Theatre, Soho Apartment Sleeps 4, Covent Garden & Leicester Square...",Greek Street,,,London,Greater London,W1D 4EE,UK,,,,,W1D,Apartment,,Entire apartment
"Covent Garden & Soho, Cosy & Cool, Spacious Apartment","Situated in London, near Leicester Square Underground Station, Arts Theatre and Dominion Theatre, Covent Garden & Soho, Cosy & Cool, Spacious Apartment...",Greek Street,,,London,Greater London,W1D 4EQ,UK,,,,,W1D,Apartment,,Entire apartment
Soho Penthouse,"In the centre of London, located within a short distance of Queen's Theatre and Leicester Square Underground Station, Soho Penthouse offers free WiFi, air...",London,,,London,Greater London,W1D 4DX,UK,,,,,W1D,Apartment,Managed by Concept Apartments,Entire apartment
Soho Luxury 1 Bedroom Apartment,"In the Westminster Borough district of London, close to Leicester Square Underground Station, Soho Luxury 1 Bedroom Apartment has free WiFi and a washing...",London,,,London,Greater London,W1D 4DX,UK,,,,,W1D,Apartment,Managed by Concept Apartments,Entire apartment
Soho Deluxe 1 Bedroom Apartment,"Situated in London, near Leicester Square Underground Station, Arts Theatre and Dominion Theatre, Soho Deluxe 1 Bedroom Apartment features free WiFi.",London,,,London,Greater London,W1D 4DX,UK,,,,,W1D,Apartment,Managed by Concept Apartments,Entire apartment
Soho 22 Serviced Apartments,"Soho 22 Serviced Apartments is located in the Westminster Borough district of London, 400 metres from Leicester Square Underground Station, 400 metres from...",London,,,London,Greater London,W1D 4DY,UK,,,,,W1D,Apartment,Managed by Concept Apartments,Entire apartment
"Soho Apartment, Theatres & Old Compton Street","Offering free WiFi and city views, Soho Apartment, Theatres & Old Compton Street is an accommodation set in London, just 400 metres from Leicester Square...",Greek Street,,,London,Greater London,W1D 4DP,UK,,,,,W1D,Apartment,,Entire apartment
F3 Greek Street by City Living London,"In the Westminster Borough district of London, close to Leicester Square Underground Station, F3 Greek Street by City Living London has free WiFi and a...",7 Greek St,,,London,Greater London,W1D 4DF,UK,,,,,W1D,Holiday home,Managed by City Living London,Entire home
Be London - The Soho Residences,"In the Westminster Borough district of London, close to Leicester Square Underground Station, Be London - The Soho Residences has free WiFi and a washing...",Greek Street,,,London,Greater London,W1D 4AP,UK,,,,,W1D,Apartment,Managed by Be London,Apartments
1st floor 2BR apartment in Soho,"Located in London, 400 metres from Leicester Square Underground Station and 300 metres from Arts Theatre, 1st floor 2BR apartment in Soho provides...",London,,,London,Greater London,W1D 4TN,UK,,,,,W1D,Apartment,,Entire apartment
Mimi's Hotel Soho,"Mimi's Hotel Soho enjoys a central location in London, just a 2-minute walk from Oxford Street and 100 metres from Prince Edward Theatre.",56-57 Frith Street,,,London,Greater London,W1D 3JG,UK,,,,,W1D,Hotel,,
"Soho & Covent Garden Apartment, Sleeps 3","Set within 100 metres of Prince Edward Theatre in London, Soho & Covent Garden Apartment, Sleeps 3 provides accommodation with free WiFi.",Greek Street,,,London,Greater London,W1D 3DY,UK,,,,,W1D,Apartment,,Apartments
Stay in the heart of Soho,"In the Westminster Borough district of London, close to Leicester Square Underground Station, Stay in the heart of Soho has free WiFi and a washing...",Old Compton Street,,,London,Greater London,W1D 4TE,UK,,,,,W1D,Apartment,Managed by Sognando,Entire apartment
Fully equipped 2 bed flat on Old Compton St!,"In the Westminster Borough district of London, close to Leicester Square Underground Station, Fully equipped 2 bed flat on Old Compton St!",Old Compton Street,,,London,Greater London,W1D 4TE,UK,,,,,W1D,Apartment,Managed by Sognando,Entire apartment
Lovely 2 bed flat in SOHO!,"In the Westminster Borough district of London, close to Leicester Square Underground Station, Lovely 2 bed flat in SOHO!",Old Compton Street,,,London,Greater London,W1D 4TE,UK,,,,,W1D,Apartment,Managed by Sognando,Entire apartment
Soho Central Apartments,"Soho Central Apartments features accommodation within 700 metres of the centre of London, with free WiFi, and a kitchen with an oven, a microwave and a...",27 Greek Street,,,London,Greater London,W1D 5DF,UK,,,,,W1D,Apartment,Managed by Robert,Apartments
Hazlitt's,"In London's Theatreland, in the heart of the West End, this 4-star boutique hotel offers beautiful rooms with antique furniture and free Wi-Fi.",6 Frith Street,Soho,,London,Greater London,W1D 3JA,UK,,,,,W1D,Hotel,,
F6 Greek Street by City Living London,"In the Westminster Borough district of London, close to Leicester Square Underground Station, F6 Greek Street by City Living London has free WiFi and a...",7 Greek Street,,,London,Greater London,W1D 4DF,UK,,,,,W1D,Holiday home,Managed by City Living London,Entire home
