name,description,address1,address2,address3,city,county,postcode,country,animal,pet_name,renewal_date,date,outward_code,Type of Property,Current Manager,Status
Pass the Keys A unique and cosy cottage - optional hot tub,"Located in Church Stretton in the Shropshire region, Pass the Keys A unique and cosy cottage - optional hot tub has a terrace.",Church Stretton,,,Church Stretton,Shropshire,SY6 6DA,UK,,,,,SY6,Holiday home,Managed by David,Entire home
30 Poplar Close,"Located 25 km from Telford International Centre, 30 Poplar Close provides accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2UU,UK,,,,,SY1,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Mill House,"Boasting a sauna, The Mill House is located in Shrewsbury.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 9AG,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
7 Monkmoor Road,"7 Monkmoor Road is located in Shrewsbury, 49 km from Chillington Hall, 1.1 km from Shrewsbury Cathedral, as well as 6.2 km from Attingham Park.",Shrewsbury,,,Shrewsbury,Shropshire,SY2 5AG,UK,,,,,SY2,Apartment,Managed by Sykes Holiday Cottages,Entire apartment
Rowton Castle,"Rowton Castle is a beautiful 17th-century Grade II listed building, set in 17 acres of tranquil grounds, and 6 miles from the historic market town of...",Halfway House,,,Shrewsbury,Shropshire,SY5 9EP,UK,,,,,SY5,Hotel,,
Sunday School House,"Sunday School House offers accommodation in Shrewsbury, 400 metres from Shrewsbury Castle and 500 metres from Shrewsbury Town Council.",Sunday School House 2 Swan Hill,,,Shrewsbury,Shropshire,SY1 1NL,UK,,,,,SY1,Apartment,Hosted by Jo,Entire apartment
Cherry Pod 2,"Situated in Shrewsbury in the Shropshire region, Cherry Pod 2 features accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 8BQ,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Riverdale,"Set 26 km from Telford International Centre, 1.8 km from Shrewsbury Cathedral and 7.",Shrewsbury,,,Shrewsbury,Shropshire,SY2 5EE,UK,,,,,SY2,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Minton Lane Cottage,"Minton Lane Cottage, a property with a garden and barbecue facilities, is situated in Church Stretton, 46 km from Telford International Centre, 12 km from...",Church Stretton,,,Church Stretton,Shropshire,SY6 6PR,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
"2 bed house, walking distance Shrewsbury centre","Featuring garden views, 2 bed house, walking distance Shrewsbury centre provides accommodation with a garden and a patio, around 26 km from Ironbridge...",4 Glendower Court,,,Shrewsbury,Shropshire,SY1 2RG,UK,,,,,SY1,Apartment,Hosted by James & Anna,Entire apartment
Pippin's Place,"Located in Shrewsbury in the Shropshire region and Ironbridge Gorge reachable within 25 km, Pippin's Place provides accommodation with free WiFi, barbecue...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2HL,UK,,,,,SY1,Holiday home,Managed by Sykes Holiday Cottages,Entire home
House In The Hills,"Boasting a hot tub, House In The Hills is located in Church Stretton.",Church Stretton,,,Church Stretton,Shropshire,SY6 6BB,UK,,,,,SY6,Holiday home,Managed by Cottages-com,Entire home
Countryside in the Town.,"Countryside in the Town., a property with a garden and a terrace, is located in Harlescott, 50 km from Chillington Hall, 4 km from Shrewsbury Cathedral, as...",55 Whitemere Road,,,Harlescott,Shropshire,SY1 3BY,UK,,,,,SY1,Apartment,Hosted by Adrian,Entire apartment
Orchard View,"Located in Woolstaston in the Shropshire region, Orchard View features a patio.",Smethcott Bank,,,Woolstaston,,SY5 8DG,UK,,,,,SY5,Holiday home,Managed by Rural Retreats Holidays Ltd,Entire home
Rose Cottage,"Rose Cottage has a patio and is situated in Shrewsbury, within just 1.5 km of Shrewsbury Cathedral. This holiday home is 7 km from Attingham Park and 2.",38 Rea Street,,,Shrewsbury,Shropshire,SY3 7PT,UK,,,,,SY3,Holiday home,Hosted by Kerry,Entire home
Boat House Lodge,"Set in Shrewsbury, the recently renovated Boat House Lodge offers accommodation 15 km from Ironbridge Gorge and 18 km from Telford International Centre.",The Boat House Wroxeter,,,Shrewsbury,Shropshire,SY5 6PH,UK,,,,,SY5,Apartment,Hosted by Randall and Jude,Entire apartment
Pass the Keys 4 Bedroom home close to town,"Situated in Shrewsbury in the Shropshire region, Pass the Keys 4 Bedroom home close to town features accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2TE,UK,,,,,SY1,Holiday home,Managed by Richard,Entire home
10 Bromleys Court,"Located in Church Stretton and only 28 km from Ironbridge Gorge, 10 Bromleys Court provides accommodation with quiet street views, free WiFi and free...",10 Bromleys Court Church Stretton,,,Church Stretton,Shropshire,SY6 7BE,UK,,,,,SY6,Apartment,Hosted by Sarah Haddleton,Entire apartment
The Old Workshop,"The Old Workshop, a property with a garden, is situated in Church Pulverbatch, 16 km from Shrewsbury Cathedral, 19 km from Attingham Park, as well as 25 km...",Church Pulverbatch,,,Church Pulverbatch,Shropshire,SY5 8DF,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Mountain Edge Resort Lodge 2,"Set in Church Stretton, Mountain Edge Resort Lodge 2 offers a restaurant, 32 km from Ironbridge Gorge and 47 km from Telford International Centre.",Mountain Edge,,,Church Stretton,Shropshire,SY6 6QE,UK,,,,,SY6,Holiday home,Managed by Mountain Edge Resort,Entire home
7 Monkmoor Road,"7 Monkmoor Road is located in Shrewsbury, 49 km from Chillington Hall, 1.1 km from Shrewsbury Cathedral, as well as 6.2 km from Attingham Park.",Shrewsbury,,,Shrewsbury,Shropshire,SY2 5AG,UK,,,,,SY2,Apartment,Managed by Sykes Holiday Cottages,Entire apartment
Mountain Edge Resort Lodge 2,"Set in Church Stretton, Mountain Edge Resort Lodge 2 offers a restaurant, 32 km from Ironbridge Gorge and 47 km from Telford International Centre.",Mountain Edge,,,Church Stretton,Shropshire,SY6 6QE,UK,,,,,SY6,Holiday home,Managed by Mountain Edge Resort,Entire home
Farmhouse studio near Shrewsbury,"Offering a garden and mountain view, Farmhouse studio near Shrewsbury is situated in Shrewsbury, 37 km from Ironbridge Gorge and 48 km from Trentham...",Hill Farm,Clive,Shrewsbury Shopshire,Shrewsbury,Shropshire,SY4 5PX,UK,,,,,SY4,Bed and breakfast,Hosted by Louise Worthington,
Bank House Barn,"Located in Shrewsbury in the Shropshire region, Bank House Barn provides accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 8LY,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Immaculate 2-Bed Villa in Shrewsbury,"Situated in Shrewsbury in the Shropshire region, Immaculate 2-Bed Villa in Shrewsbury features accommodation with free WiFi and free private parking.",5 Thorns Grove,,,Shrewsbury,Shropshire,SY3 5BY,UK,,,,,SY3,Villa,Managed by Travelnest,Entire home
Farmhouse studio near Shrewsbury,"Offering a garden and mountain view, Farmhouse studio near Shrewsbury is situated in Shrewsbury, 37 km from Ironbridge Gorge and 48 km from Trentham...",Hill Farm,Clive,Shrewsbury Shopshire,Shrewsbury,Shropshire,SY4 5PX,UK,,,,,SY4,Bed and breakfast,Hosted by Louise Worthington,
Hilltop Hut,"Offering a garden and quiet street view, Hilltop Hut is situated in Church Stretton, 13 km from Stokesay Castle and 22 km from Shrewsbury Cathedral.",133 Watling Street South,,,Church Stretton,Shropshire,SY6 7BJ,UK,,,,,SY6,Luxury tent,Hosted by Caroline and Tim Tarbuck,
The Granary,"The Granary, a property with a garden, is situated in Shrewsbury, 31 km from Telford International Centre, 10 km from Shrewsbury Cathedral, as well as 13...",Shrewsbury,,,Shrewsbury,Shropshire,SY5 7EF,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Little Whitley - Uk38099,"Located 14 km from Attingham Park, 32 km from Whittington Castle and 34 km from Stokesay Castle, Little Whitley - Uk38099 provides accommodation set in...",Great Hanwood,,,Great Hanwood,Shropshire,SY5 8BA,UK,,,,,SY5,Holiday home,Managed by Cottages-com,Entire home
Honeysuckle Cottage,"Honeysuckle Cottage, a property with a garden, is located in Minsterley, 20 km from Shrewsbury Cathedral, 23 km from Attingham Park, as well as 31 km from...",Minsterley,,,Minsterley,Shropshire,SY5,UK,,,,,SY5,Holiday home,Managed by Cottages-com,Entire home
Little Smithy,"Little Smithy is situated in Shrewsbury, 30 km from Telford International Centre, 8.7 km from Shrewsbury Cathedral, and 12 km from Attingham Park.",Smithy House Condover,,,Shrewsbury,Shropshire,SY5 7AA,UK,,,,,SY5,Holiday home,Hosted by Sarah,Entire home
Pickle Cottage,"Located in Church Stretton in the Shropshire region, Pickle Cottage provides accommodation with free WiFi and free private parking.",Church Stretton,,,Church Stretton,Shropshire,SY6 6PQ,UK,,,,,SY6,Holiday home,Managed by Cottages-com,Entire home
EASTRIDGE GLAMPING,"Featuring a garden and views of garden, EASTRIDGE GLAMPING is a recently renovated chalet located in Shrewsbury, 38 km from Ironbridge Gorge.",Eastridge Glamping,,,Shrewsbury,Shropshire,SY5 0TP,UK,,,,,SY5,Chalet,Hosted by Deborah Pinches,Houses
"2 bed house, walking distance Shrewsbury centre","Featuring garden views, 2 bed house, walking distance Shrewsbury centre provides accommodation with a garden and a patio, around 26 km from Ironbridge...",4 Glendower Court,,,Shrewsbury,Shropshire,SY1 2RG,UK,,,,,SY1,Apartment,Hosted by James & Anna,Entire apartment
"Besford Square, Shrewsbury Town","Besford Square, Shrewsbury Town is set in Shrewsbury, 26 km from Telford International Centre, less than 1 km from Shrewsbury Cathedral, and 7.",14 Besford Square,,,Shrewsbury,Shropshire,SY3 7PG,UK,,,,,SY3,Holiday home,,Entire home
Pass the Keys Stylish newly renovated Victorian 2 bedroom house,"Providing a garden, a terrace and free WiFi, Pass the Keys Stylish newly renovated Victorian 2 bedroom house is a recently renovated holiday home 26 km...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2JZ,UK,,,,,SY1,Holiday home,Managed by Katie,Entire home
Lindens Barn,"Situated in Shrewsbury in the Shropshire region, Lindens Barn features accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 0AL,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Lindens Annexe,"Set 43 km from Ironbridge Gorge, Lindens Annexe offers accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 0AL,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Little Cygnet on Swan Hill,"Located in Shrewsbury, 26 km from Ironbridge Gorge and 27 km from Telford International Centre, The Little Cygnet on Swan Hill provides quiet street views...",15A Swan Hill,,,Shrewsbury,Shropshire,SY1 1NL,UK,,,,,SY1,Apartment,Hosted by Jo Henshaw owner and founder of Stayinshrewsbury,Entire apartment
Riverside Cabins,"Set in Shrewsbury in the Shropshire region and Telford International Centre reachable within 43 km, Riverside Cabins offers accommodation with free WiFi,...",Riverside Cabins Stanwardine Lane,Wykey,Ruyton-XI-Towns,Shrewsbury,Shropshire,SY4 1HY,UK,,,,,SY4,Lodge,,
Beaconsfield Park,"Featuring a hot tub, Beaconsfield Park is set in Shrewsbury. There is an on-site restaurant, plus free private parking and free WiFi are available.",Upper Battlefield,,,Shrewsbury,Shropshire,SY4 4AA,UK,,,,,SY4,Holiday park,Managed by Hoseasons,
The Tractor Shed,"The Tractor Shed, a property with barbecue facilities, is set in Preesgreen, 40 km from Trentham Gardens, 42 km from Ironbridge Gorge, as well as 46 km...",Preesgreen,,,Preesgreen,Shropshire,SY4 5LR,UK,,,,,SY4,Holiday home,Managed by Sykes Holiday Cottages,Entire home
5 Bedroom House - Ideal for Groups & Contractors,"Set in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, 5 Bedroom House - Ideal for Groups & Contractors offers accommodation with...",5 Rea Bridge,,,Shrewsbury,Shropshire,SY3 7BW,UK,,,,,SY3,Holiday home,,Entire home
Luxurious 2 Bedroom Countryside Hot Tub Retreat in Stiperstones,"44 km from Ironbridge Gorge in Shelve, Luxurious 2 Bedroom Countryside Hot Tub Retreat in Stiperstones offers accommodation with access to a hot tub.",4 Perkins Beach Dingle,,,Shelve,Shropshire,SY5 0PE,UK,,,,,SY5,Holiday home,,Entire home
Hansel and Gretel House in the Woods,"Featuring lake views, Hansel and Gretel House in the Woods features accommodation with a garden, a terrace and barbecue facilities, around 11 km from...",White Sitch Shifnal,,,Shifnal,Shropshire,TF11 8JL,UK,,,,,TF11,Lodge,,
Abbey Cottage,"Located in Shrewsbury, 23 km from Ironbridge Gorge and 24 km from Telford International Centre, Abbey Cottage provides accommodation with free WiFi in a...",2 Coldbath Court,,,Shrewsbury,Shropshire,SY2 6AH,UK,,,,,SY2,Holiday home,Hosted by Louise & Steve,Entire home
Borrowers Cottage,"Located 31 km from Telford International Centre, 9 km from Shrewsbury Cathedral and 13 km from Attingham Park, Borrowers Cottage offers accommodation...",Condover,,,Condover,Shropshire,SY5 7AE,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Keepers Cottage,"Keepers Cottage is situated in Picklescott, 21 km from Attingham Park, 23 km from Stokesay Castle, and 29 km from Clun Castle.",Picklescott,,,Picklescott,Shropshire,SY6 6NP,UK,,,,,SY6,Holiday home,Managed by Cottages-com,Entire home
"Pass the Keys Two bedroom Victoria Town house, easy walk of town","Pass the Keys Two bedroom Victoria Town house, easy walk of town, a property with a garden, is located in Shrewsbury, 25 km from Telford International...",Shrewsbury,,,Shrewsbury,Shropshire,SY2 5DN,UK,,,,,SY2,Holiday home,Managed by Lucinda,Entire home
Casaamor Homes,"Casaamor Homes is set in Shrewsbury, 26 km from Telford International Centre, 800 metres from Shrewsbury Cathedral, as well as 7.7 km from Attingham Park.",SY12BG,,,Shrewsbury,Shropshire,SY1 2BG,UK,,,,,SY1,Apartment,,Entire apartment
The Granary Self Catering Cottage,"Set in Shrewsbury and only 34 km from Telford International Centre, The Granary Self Catering Cottage offers accommodation with garden views, free WiFi and...",The Granary,Newton on the Hill,,Shrewsbury,Shropshire,SY4 3EH,UK,,,,,SY4,Holiday home,,Entire home
The Tractor Shed,"The Tractor Shed, a property with barbecue facilities, is set in Preesgreen, 40 km from Trentham Gardens, 42 km from Ironbridge Gorge, as well as 46 km...",Preesgreen,,,Preesgreen,Shropshire,SY4 5LR,UK,,,,,SY4,Holiday home,Managed by Sykes Holiday Cottages,Entire home
EASTRIDGE GLAMPING,"Featuring a garden and views of garden, EASTRIDGE GLAMPING is a recently renovated chalet located in Shrewsbury, 38 km from Ironbridge Gorge.",Eastridge Glamping,,,Shrewsbury,Shropshire,SY5 0TP,UK,,,,,SY5,Chalet,Hosted by Deborah Pinches,Houses
Spacious first floor apartment in the centre of Church Stretton with free parking,"Offering mountain views, Spacious first floor apartment in the centre of Church Stretton with free parking is an accommodation located in Church Stretton,...",Sandford Avenue 2 Lorne House,,,Church Stretton,Shropshire,SY6 6BW,UK,,,,,SY6,Apartment,Hosted by Elaine,Entire apartment
Hope Hall Barn,"Hope Hall Barn, a property with a garden, is located in Bromlow, 44 km from Telford International Centre, 21 km from Shrewsbury Cathedral, as well as 26 km...",Bromlow,,,Bromlow,Shropshire,SY5 0EN,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Callow Lodge 15,"Boasting a sauna, Callow Lodge 15 is set in Hadnall. The property is located 28 km from Ironbridge Gorge, 6.",Hadnall,,,Hadnall,Shropshire,SY4 4AA,UK,,,,,SY4,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Willow View,"Willow View is located in Shrewsbury, 27 km from Telford International Centre, 1.3 km from Shrewsbury Cathedral, as well as 8.9 km from Attingham Park.",Shrewsbury,,,Shrewsbury,Shropshire,SY3 8RG,UK,,,,,SY3,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Ensdon Lea Cottage,"Ensdon Lea Cottage, a property with a garden, is located in Shrewsbury, 37 km from Telford International Centre, 12 km from Shrewsbury Cathedral, as well...",Shrewsbury,,,Shrewsbury,Shropshire,SY4 1EN,UK,,,,,SY4,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Piglets Place - E4300,"Situated 34 km from Ironbridge Gorge and 35 km from Telford International Centre in Cardeston, Piglets Place - E4300 offers accommodation with a kitchen.",Cardeston,,,Cardeston,Shropshire,SY5 0UY,UK,,,,,SY5,Holiday home,Managed by Cottages-com,Entire home
Rose Cottage,"Rose Cottage has a patio and is situated in Shrewsbury, within just 1.5 km of Shrewsbury Cathedral. This holiday home is 7 km from Attingham Park and 2.",38 Rea Street,,,Shrewsbury,Shropshire,SY3 7PT,UK,,,,,SY3,Holiday home,Hosted by Kerry,Entire home
Piglets Place - E4300,"Situated 34 km from Ironbridge Gorge and 35 km from Telford International Centre in Cardeston, Piglets Place - E4300 offers accommodation with a kitchen.",Cardeston,,,Cardeston,Shropshire,SY5 0UY,UK,,,,,SY5,Holiday home,Managed by Cottages-com,Entire home
"Besford Square, Shrewsbury Town","Besford Square, Shrewsbury Town is set in Shrewsbury, 26 km from Telford International Centre, less than 1 km from Shrewsbury Cathedral, and 7.",14 Besford Square,,,Shrewsbury,Shropshire,SY3 7PG,UK,,,,,SY3,Holiday home,,Entire home
Strine View Cottage,"Strine View Cottage, a property with a garden, is set in Crudgington, 21 km from Ironbridge Gorge, 40 km from Chillington Hall, as well as 45 km from...",Crudgington,,,Crudgington,Shropshire,TF6 6JX,UK,,,,,TF6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Ludwick Apartment,"Situated in Shrewsbury and only 23 km from Ironbridge Gorge, Ludwick Apartment features accommodation with garden views, free WiFi and free private...",129 Abbey Foregate,,,Shrewsbury,Shropshire,SY2 6AX,UK,,,,,SY2,Apartment,,Apartments
Pass the Keys Superb space in the idyllic village of Loppington,"Offering a garden and garden view, Pass the Keys Superb space in the idyllic village of Loppington is located in Shrewsbury, 44 km from Ironbridge Gorge...",Shrewsbury,,,Shrewsbury,Shropshire,SY4 5UL,UK,,,,,SY4,Apartment,Managed by Clare,Entire apartment
Family home close to Shrewsbury Town centre,"Family home close to Shrewsbury Town centre, a property with a garden, is set in Shrewsbury, 25 km from Telford International Centre, 50 km from...",Wilfred Owen Close,,,Shrewsbury,Shropshire,SY2 5BY,UK,,,,,SY2,Holiday home,Hosted by James & Anna,Entire home
7 Monkmoor Road,"7 Monkmoor Road is located in Shrewsbury, 49 km from Chillington Hall, 1.1 km from Shrewsbury Cathedral, as well as 6.2 km from Attingham Park.",Shrewsbury,,,Shrewsbury,Shropshire,SY2 5AG,UK,,,,,SY2,Apartment,Managed by Sykes Holiday Cottages,Entire apartment
The Lymes,"Situated 2.6 km from Shrewsbury Cathedral, 9.3 km from Attingham Park and 29 km from Whittington Castle, The Lymes features accommodation set in...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2PH,UK,,,,,SY1,Holiday home,Managed by Sykes Holiday Cottages,Entire home
House In The Hills,"Boasting a hot tub, House In The Hills is located in Church Stretton.",Church Stretton,,,Church Stretton,Shropshire,SY6 6BB,UK,,,,,SY6,Holiday home,Managed by Cottages-com,Entire home
Hereford Road Shrewsbury Cottage,"Offering garden views, Hereford Road Shrewsbury Cottage is an accommodation set in Shrewsbury, 26 km from Telford International Centre and 1.",98 Hereford Road,,,Shrewsbury,Shropshire,SY3 7RA,UK,,,,,SY3,Apartment,,Entire apartment
Church Apartment,"Church Apartment offers accommodation in the heart of Shrewsbury, 200 metres from Theatre Severn. Private parking and free Wi-Fi are available.",15 Mount Street,Church Flat,,Shrewsbury,Shropshire,SY3 8QJ,UK,,,,,SY3,Apartment,Hosted by Suzanne Evans,Entire apartment
Sunday School House,"Sunday School House offers accommodation in Shrewsbury, 400 metres from Shrewsbury Castle and 500 metres from Shrewsbury Town Council.",Sunday School House 2 Swan Hill,,,Shrewsbury,Shropshire,SY1 1NL,UK,,,,,SY1,Apartment,Hosted by Jo,Entire apartment
Round House,"Located in Church Stretton in the Shropshire region, Round House provides accommodation with free WiFi and free private parking.",Church Stretton,,,Church Stretton,Shropshire,SY6 7BL,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Loft,"The Loft is located in Wem, 47 km from Chester Racecourse, 49 km from Chester Zoo, as well as 19 km from Shrewsbury Cathedral.",20 Wemsbrook Road,,,Wem,Shropshire,SY4 5AH,UK,,,,,SY4,Apartment,Hosted by Leo,Entire apartment
Stoney Moat,"Located in Shrewsbury in the Shropshire region and Ironbridge Gorge reachable within 37 km, Stoney Moat provides accommodation with free WiFi, barbecue...",Stoney Stretton,,,Shrewsbury,Shropshire,SY5 9PZ,UK,,,,,SY5,Holiday home,,Entire home
The Old Chapel,"The Old Chapel, a property with barbecue facilities, is situated in Shelve, 46 km from Telford International Centre, 22 km from Shrewsbury Cathedral, as...",Shelve,,,Shelve,Shropshire,SY5 0PE,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Wilderness,"The Wilderness, a property with barbecue facilities, is located in Bromlow, 46 km from Telford International Centre, 22 km from Shrewsbury Cathedral, as...",Bromlow,,,Bromlow,Shropshire,SY5 0PE,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Ravelstone,"Located in Church Stretton in the Shropshire region, Ravelstone features a patio.",5 Shrewsbury Road,,,Church Stretton,Shropshire,SY6 6JA,UK,,,,,SY6,Holiday home,,Entire home
Sunday School House,"Sunday School House offers accommodation in Shrewsbury, 400 metres from Shrewsbury Castle and 500 metres from Shrewsbury Town Council.",Sunday School House 2 Swan Hill,,,Shrewsbury,Shropshire,SY1 1NL,UK,,,,,SY1,Apartment,Hosted by Jo,Entire apartment
The Views,"Offering a terrace and mountain view, The Views is set in Church Stretton, 40 km from Telford International Centre and 18 km from Shrewsbury Cathedral.",Bowdlers House,Woolstaston,,Church Stretton,Shropshire,SY6 6NN,UK,,,,,SY6,Campsite,,
Wigmore Lakes Lodges,"Boasting a hot tub, Wigmore Lakes Lodges is set in Cardeston.",Lower Wigmore Wattlesborough,,,Cardeston,Shropshire,SY5 9EA,UK,,,,,SY5,Holiday park,Managed by Hoseasons,
1 Bed in Shrewsbury 73521,"Set in Ford and only 33 km from Ironbridge Gorge, 1 Bed in Shrewsbury 73521 offers accommodation with garden views, free WiFi and free private parking.","Meadowside
Ford
Shropshire",,,Ford,Shropshire,SY5 9LE,UK,,,,,SY5,Holiday home,Managed by holidaycottages-co-uk,Entire home
Mayfields Lodge,"Mayfields Lodge, a property with a garden, is set in Aston, 40 km from Ironbridge Gorge, 46 km from Trentham Gardens, as well as 18 km from Shrewsbury...",Mayfields Farm,Barkers Green,Wem,Aston,Shropshire,SY4 5JW,UK,,,,,SY4,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Round House,"Located in Church Stretton in the Shropshire region, Round House provides accommodation with free WiFi and free private parking.",Church Stretton,,,Church Stretton,Shropshire,SY6 7BL,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Virginia Cottage,"Virginia Cottage, a property with a garden, is located in Acton Burnell, 32 km from Telford International Centre, 11 km from Attingham Park, as well as 14...",Acton Burnell,,,Acton Burnell,Shropshire,SY5 7PQ,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Pass the Keys Modern and Stylish 2 Bedroom Apartment close to town,"Situated in Shrewsbury, Pass the Keys Modern and Stylish 2 Bedroom Apartment close to town is a recently renovated accommodation, 24 km from Telford...",Shrewsbury,,,Shrewsbury,Shropshire,SY2 6AJ,UK,,,,,SY2,Apartment,Managed by Layla,Entire apartment
Riverside Views - 3 Bedroom House - Shrewsbury Town Centre,"Riverside Views - 3 Bedroom House - Shrewsbury Town Centre, a property with a garden, is set in Shrewsbury, 25 km from Ironbridge Gorge, 26 km from Telford...",Watergate House,St Mary’s Water Lane,Shrewsbury SY1 2BX,Shrewsbury,Shropshire,SY1 2BX,UK,,,,,SY1,Holiday home,,Entire home
30 Poplar Close,"Located 25 km from Telford International Centre, 30 Poplar Close provides accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2UU,UK,,,,,SY1,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Hencote Vineyard Glamping Village,"Offering a garden and garden view, Hencote Vineyard Glamping Village is situated in Shrewsbury, 29 km from Telford International Centre and 31 km from...",hencote,crosshill,,Shrewsbury,Shropshire,SY4 3AB,UK,,,,,SY4,Luxury tent,Managed by Hencote,
Church Apartment,"Church Apartment offers accommodation in the heart of Shrewsbury, 200 metres from Theatre Severn. Private parking and free Wi-Fi are available.",15 Mount Street,Church Flat,,Shrewsbury,Shropshire,SY3 8QJ,UK,,,,,SY3,Apartment,Hosted by Suzanne Evans,Entire apartment
"2 bed house, walking distance Shrewsbury centre","Featuring garden views, 2 bed house, walking distance Shrewsbury centre provides accommodation with a garden and a patio, around 26 km from Ironbridge...",4 Glendower Court,,,Shrewsbury,Shropshire,SY1 2RG,UK,,,,,SY1,Apartment,Hosted by James & Anna,Entire apartment
Stylish and modern entire apartment,"Located in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Stylish and modern entire apartment provides accommodation with free WiFi...",22 Longner Street,,,Shrewsbury,Shropshire,SY3 8QX,UK,,,,,SY3,Apartment,Hosted by Nicola,Entire apartment
The Views,"Offering a terrace and mountain view, The Views is set in Church Stretton, 40 km from Telford International Centre and 18 km from Shrewsbury Cathedral.",Bowdlers House,Woolstaston,,Church Stretton,Shropshire,SY6 6NN,UK,,,,,SY6,Campsite,,
Immaculate 2-Bed Villa in Shrewsbury,"Situated in Shrewsbury in the Shropshire region, Immaculate 2-Bed Villa in Shrewsbury features accommodation with free WiFi and free private parking.",5 Thorns Grove,,,Shrewsbury,Shropshire,SY3 5BY,UK,,,,,SY3,Villa,Managed by Travelnest,Entire home
Shrewsbury Townhouse with Parking,"Located in Harlescott and only 24 km from Telford International Centre, Shrewsbury Townhouse with Parking provides accommodation with quiet street views,...",1 Old Heath,,,Harlescott,Shropshire,SY1 4SB,UK,,,,,SY1,Holiday home,Managed by Team Hudson,Entire home
The Olde Cow House,"The Olde Cow House, a property with a garden, is situated in Hughley, 31 km from Telford International Centre, 17 km from Attingham Park, as well as 24 km...",Hughley,,,Hughley,Shropshire,SY6 7HX,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
11 Callow Crescent,"11 Callow Crescent is situated in Minsterley, 39 km from Ironbridge Gorge, and features a patio, garden, and free WiFi.",11 Callow Crescent,,,Minsterley,Shropshire,SY5 0BY,UK,,,,,SY5,Holiday home,Hosted by AL,Entire home
The Orchard Retreat,"The Orchard Retreat, a property with a garden and a bar, is set in Shrewsbury, 34 km from Ironbridge Gorge, 35 km from Telford International Centre, as...",the swallows,,,Shrewsbury,Shropshire,SY5 9GD,UK,,,,,SY5,Campsite,,
Abbey Cottage,"Located in Shrewsbury, 23 km from Ironbridge Gorge and 24 km from Telford International Centre, Abbey Cottage provides accommodation with free WiFi in a...",2 Coldbath Court,,,Shrewsbury,Shropshire,SY2 6AH,UK,,,,,SY2,Holiday home,Hosted by Louise & Steve,Entire home
The Barn,"The Barn, a property with a garden, is situated in Preesgreen, 40 km from Trentham Gardens, 42 km from Ironbridge Gorge, as well as 46 km from Chester...",Preesgreen,,,Preesgreen,Shropshire,SY4 5LR,UK,,,,,SY4,Apartment,Managed by Sykes Holiday Cottages,Entire apartment
Pass the Keys Stylish modern two bedroom home in Shrewsbury,"Situated in Shrewsbury in the Shropshire region, Pass the Keys Stylish modern two bedroom home in Shrewsbury has a patio.",Shrewsbury,,,Shrewsbury,Shropshire,SY2 6JF,UK,,,,,SY2,Holiday home,Managed by Emma & Karl,Entire home
